gene_name	gene_id	FTP_URL
DPM1	ENSG00000000419	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000000419_id.parquet
SCYL3	ENSG00000000457	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000000457_id.parquet
C1orf112	ENSG00000000460	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000000460_id.parquet
FGR	ENSG00000000938	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000000938_id.parquet
FUCA2	ENSG00000001036	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000001036_id.parquet
GCLC	ENSG00000001084	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000001084_id.parquet
NFYA	ENSG00000001167	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000001167_id.parquet
STPG1	ENSG00000001460	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000001460_id.parquet
NIPAL3	ENSG00000001461	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000001461_id.parquet
ENPP4	ENSG00000001561	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000001561_id.parquet
SEMA3F	ENSG00000001617	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000001617_id.parquet
ANKIB1	ENSG00000001629	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000001629_id.parquet
CYP51A1	ENSG00000001630	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000001630_id.parquet
KRIT1	ENSG00000001631	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000001631_id.parquet
RAD52	ENSG00000002016	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000002016_id.parquet
BAD	ENSG00000002330	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000002330_id.parquet
LAP3	ENSG00000002549	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000002549_id.parquet
HS3ST1	ENSG00000002587	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000002587_id.parquet
WNT16	ENSG00000002745	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000002745_id.parquet
MAD1L1	ENSG00000002822	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000002822_id.parquet
LASP1	ENSG00000002834	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000002834_id.parquet
SNX11	ENSG00000002919	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000002919_id.parquet
TMEM176A	ENSG00000002933	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000002933_id.parquet
M6PR	ENSG00000003056	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000003056_id.parquet
ICA1	ENSG00000003147	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000003147_id.parquet
DBNDD1	ENSG00000003249	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000003249_id.parquet
ALS2	ENSG00000003393	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000003393_id.parquet
CASP10	ENSG00000003400	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000003400_id.parquet
CFLAR	ENSG00000003402	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000003402_id.parquet
NDUFAF7	ENSG00000003509	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000003509_id.parquet
RBM5	ENSG00000003756	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000003756_id.parquet
MTMR7	ENSG00000003987	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000003987_id.parquet
SLC7A2	ENSG00000003989	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/imported/MetaLCL/Liang_2013_ALSPAC_CAP_eur_GENCORD_GEUVADIS_GTEx_TwinsUK_CoLausR2_naive_LCL_metaanalysis_ENSG00000003989_id.parquet
